---------------------------------------------
Log C:\Users\nomisum\Documents\My Games\ArmaReforger\logs\logs_2026-01-03_11-48-06\console.log started at 2026-01-03 11:48:06 (2026-01-03 10:48:06 UTC)

11:48:06.272 ENGINE       : FileSystem: Adding relative directory 'C:\Users\nomisum\Documents\My Games\ArmaReforger\logs\logs_2026-01-03_11-48-06' to filesystem under name logs
11:48:06.272 ENGINE       : FileSystem: Adding relative directory 'C:\Users\nomisum\Documents\My Games\ArmaReforger\profile' to filesystem under name profile
11:48:06.274 ENGINE       : Initializing engine, version 187305
11:48:07.413 ENGINE       : Addon dirs:
11:48:07.413  ENGINE       : dir: './addons'
11:48:07.413  ENGINE       : dir: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons'
11:48:07.413 ENGINE       : Available addons:
11:48:07.413  ENGINE       : gproj: './addons/core/core.gproj' guid: '5614BBCCBB55ED1C' (packed)
11:48:07.413  ENGINE       : gproj: './addons/data/ArmaReforger.gproj' guid: '58D0FB3206B6F859' (packed)
11:48:07.413  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEAllinOneDev_65AD7BE594439A52/dev.gproj' guid: '65AD7BE594439A52' (packed)
11:48:07.413  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEAllinOne_60C4E0B49618CC62/addon.gproj' guid: '60C4E0B49618CC62' (packed)
11:48:07.413  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEBackblastDev_65AD7C139EB4C1A1/dev.gproj' guid: '65AD7C139EB4C1A1' (packed)
11:48:07.413  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEBackblast_60E573C9B04CC408/addon.gproj' guid: '60E573C9B04CC408' (packed)
11:48:07.413  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACECaptivesDev_65AD7C249E4ECDFB/dev.gproj' guid: '65AD7C249E4ECDFB' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACECaptives_646D52AF8BB3FF15/addon.gproj' guid: '646D52AF8BB3FF15' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACECarryingDev_65AD7C379CBD394D/dev.gproj' guid: '65AD7C379CBD394D' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACECarrying_5DBD560C5148E1DA/addon.gproj' guid: '5DBD560C5148E1DA' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEChoppingDev_65AD7BCC9F6B3B4E/dev.gproj' guid: '65AD7BCC9F6B3B4E' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEChopping_5EB744C5F42E0800/addon.gproj' guid: '5EB744C5F42E0800' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACECompassDev_65AD7CF69FAF1FDD/dev.gproj' guid: '65AD7CF69FAF1FDD' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACECompass_60C53A9372ED3964/addon.gproj' guid: '60C53A9372ED3964' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACECook-OffDev_664AFDC993C9CE1A/dev.gproj' guid: '664AFDC993C9CE1A' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACECoreDev_65AD7D0D9941A380/dev.gproj' guid: '65AD7D0D9941A380' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACECore_60C4CE4888FF4621/addon.gproj' guid: '60C4CE4888FF4621' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEExplosivesDev_65AD7D1E9EEAFA53/dev.gproj' guid: '65AD7D1E9EEAFA53' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEExplosives_61B7763A8AEB53B7/addon.gproj' guid: '61B7763A8AEB53B7' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEFingerDev_65AD7D2E9866FA6E/dev.gproj' guid: '65AD7D2E9866FA6E' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEFinger_606C369BAC3F6CC3/addon.gproj' guid: '606C369BAC3F6CC3' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEMagazineRepackDev_65AD7D4099944EBD/dev.gproj' guid: '65AD7D4099944EBD' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEMagazineRepack_611CB1D409001EB0/addon.gproj' guid: '611CB1D409001EB0' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEMedicalCirculationDev_65AD7D4F994EA327/dev.gproj' guid: '65AD7D4F994EA327' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEMedicalCoreDev_6586079789278413/dev.gproj' guid: '6586079789278413' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEMedicalHitzonesDev_65B343F799FB521B/dev.gproj' guid: '65B343F799FB521B' (packed)
11:48:07.414  ENGINE       : gproj: 'C:/Users/nomisum/Documents/My Games/ArmaReforger/addons/ACEMedicalHitzones_65860252A17554C7/addon.gproj' guid: '65860252A17554C7' (packed)
